"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","12.950","12.915","12.950","12.915","-0.77%"
"Dec 22, 2022","13.050","13.180","13.180","13.050","-0.61%"
"Dec 21, 2022","13.130","13.140","13.140","13.130","-0.45%"
"Dec 20, 2022","13.190","13.190","13.190","13.190","-1.93%"
"Dec 19, 2022","13.450","13.620","13.620","13.450","-0.11%"
"Dec 16, 2022","13.465","13.445","13.465","13.445","0.41%"
"Dec 15, 2022","13.410","13.410","13.410","13.410","-2.05%"
"Dec 14, 2022","13.690","13.590","13.690","13.590","3.63%"
"Dec 13, 2022","13.210","13.200","13.210","13.200","-0.30%"
"Dec 12, 2022","13.250","13.090","13.250","13.090","1.61%"
"Dec 09, 2022","13.040","13.040","13.040","13.040","0.62%"
"Dec 08, 2022","12.960","12.990","12.990","12.960","1.09%"
"Dec 07, 2022","12.820","12.930","12.930","12.820","-0.93%"
"Dec 06, 2022","12.940","12.880","12.940","12.880","0.94%"
"Dec 05, 2022","12.820","12.680","12.820","12.680","1.99%"
"Dec 02, 2022","12.570","12.740","12.740","12.570","-2.03%"
"Dec 01, 2022","12.830","12.935","12.935","12.830","0.16%"
"Nov 30, 2022","12.810","13.025","13.025","12.810","-2.44%"
"Nov 29, 2022","13.130","13.420","13.420","13.130","-3.24%"
"Nov 28, 2022","13.570","13.660","13.660","13.570","-0.66%"
"Nov 25, 2022","13.660","13.570","13.660","13.570","1.26%"
"Nov 24, 2022","13.490","13.650","13.650","13.490","-2.81%"
"Nov 23, 2022","13.880","13.710","13.880","13.710","2.97%"
"Nov 22, 2022","13.480","13.400","13.480","13.400","0.75%"
"Nov 21, 2022","13.380","13.260","13.380","13.260","1.06%"
"Nov 18, 2022","13.240","13.110","13.240","13.110","-0.11%"
"Nov 17, 2022","13.255","13.465","13.465","13.255","0.57%"
"Nov 16, 2022","13.180","13.060","13.180","13.060","0.23%"
"Nov 14, 2022","13.150","13.150","13.150","13.150","-1.28%"
"Nov 11, 2022","13.320","11.835","13.320","11.835","2.46%"
"Nov 10, 2022","13.000","11.835","13.000","11.835","6.43%"
"Nov 09, 2022","12.215","11.835","12.275","11.835","0.66%"
"Nov 08, 2022","12.135","12.175","12.215","12.135","1.13%"
"Nov 07, 2022","12.000","11.835","12.000","11.835","1.18%"
"Nov 04, 2022","11.860","11.860","11.860","11.835","-0.34%"
"Nov 03, 2022","11.900","11.805","11.900","11.805","0.93%"
"Nov 01, 2022","11.790","11.835","11.835","11.790","-0.97%"
"Oct 31, 2022","11.905","12.115","12.115","11.835","-1.00%"
"Oct 28, 2022","12.025","12.180","12.180","11.995","0.00%"
"Oct 27, 2022","12.025","12.180","12.180","12.025","-1.15%"
"Oct 26, 2022","12.165","12.110","12.165","12.110","0.33%"
"Oct 25, 2022","12.125","12.125","12.125","12.125","-0.04%"
"Oct 24, 2022","12.130","11.955","12.130","11.955","1.59%"
"Oct 21, 2022","11.940","11.940","11.940","11.940","-0.13%"
"Oct 20, 2022","11.955","11.955","11.980","11.955","0.13%"
"Oct 19, 2022","11.940","11.940","11.940","11.940","0.76%"
"Oct 18, 2022","11.850","11.890","11.890","11.850","-0.50%"
"Oct 17, 2022","11.910","11.750","11.920","11.750","-0.92%"
"Oct 14, 2022","12.020","11.750","12.020","11.750","1.09%"
"Oct 13, 2022","11.890","12.080","12.080","11.890","0.17%"
"Oct 11, 2022","11.870","11.840","11.935","11.840","0.76%"
"Oct 10, 2022","11.780","11.750","11.800","11.750","0.17%"
"Oct 07, 2022","11.760","11.750","11.760","11.730","-0.38%"
"Oct 06, 2022","11.805","11.825","11.825","11.805","0.25%"
"Oct 05, 2022","11.775","11.785","11.785","11.775","0.77%"
"Oct 04, 2022","11.685","11.685","11.685","11.685","-0.64%"
"Oct 03, 2022","11.760","12.165","12.165","11.710","-2.00%"
"Sep 30, 2022","12.000","12.165","12.165","12.000","-1.60%"
"Sep 29, 2022","12.195","12.305","12.305","12.165","0.29%"
"Sep 28, 2022","12.160","12.085","12.210","12.085","1.00%"
"Sep 27, 2022","12.040","12.110","12.110","11.900","-0.25%"
"Sep 26, 2022","12.070","11.950","12.070","11.950","2.81%"
"Sep 23, 2022","11.740","11.740","11.740","11.740","1.12%"
"Sep 22, 2022","11.610","11.750","11.750","11.610","-2.03%"
"Sep 21, 2022","11.850","11.930","11.930","11.770","-1.04%"
"Sep 20, 2022","11.975","11.980","11.980","11.945","0.08%"
"Sep 19, 2022","11.965","11.950","12.155","11.950","-1.03%"
"Sep 16, 2022","12.090","11.950","12.180","11.950","-0.12%"
"Sep 15, 2022","12.105","12.105","12.105","12.105","0.46%"
"Sep 14, 2022","12.050","12.030","12.050","12.030","0.58%"
