Date,Price,Open,High,Low,Change %
"Dec 23, 2022",2.391,,,,
"Dec 22, 2022",2.367,,,,
"Dec 21, 2022",2.303,,,,
"Dec 20, 2022",2.301,,,,
"Dec 19, 2022",2.201,,,,
"Dec 18, 2022",2.146,,,,
"Dec 16, 2022",2.159,,,,
"Dec 15, 2022",2.092,,,,
"Dec 14, 2022",1.938,,,,
"Dec 13, 2022",1.908,,,,
"Dec 12, 2022",1.935,,,,
"Dec 10, 2022",1.928,,,,
"Dec 09, 2022",1.923,,,,
"Dec 08, 2022",1.82,,,,
"Dec 07, 2022",1.783,,,,
"Dec 06, 2022",1.796,,,,
"Dec 05, 2022",1.884,,,,
"Dec 02, 2022",1.855,,,,
"Dec 01, 2022",1.823,,,,
"Nov 30, 2022",1.944,,,,
"Nov 29, 2022",1.913,,,,
"Nov 28, 2022",1.992,,,,
"Nov 25, 2022",1.969,,,,
"Nov 24, 2022",1.847,,,,
"Nov 23, 2022",1.922,,,,
"Nov 22, 2022",1.982,,,,
"Nov 21, 2022",1.977,,,,
"Nov 19, 2022",2.01,,,,
"Nov 18, 2022",2.018,,,,
"Nov 17, 2022",2.03,,,,
"Nov 16, 2022",2.001,,,,
"Nov 15, 2022",2.098,,,,
"Nov 14, 2022",2.159,,,,
"Nov 11, 2022",2.158,,,,
"Nov 10, 2022",2.003,,,,
"Nov 09, 2022",2.177,,,,
"Nov 08, 2022",2.272,,,,
"Nov 07, 2022",2.325,,,,
"Nov 04, 2022",2.289,,,,
"Nov 03, 2022",2.251,,,,
"Nov 02, 2022",2.135,,,,
"Nov 01, 2022",2.124,,,,
"Oct 31, 2022",2.15,,,,
"Oct 28, 2022",2.086,,,,
"Oct 27, 2022",1.978,,,,
"Oct 26, 2022",2.115,,,,
"Oct 25, 2022",2.17,,,,
"Oct 24, 2022",2.344,,,,
"Oct 21, 2022",2.437,,,,
"Oct 20, 2022",2.394,,,,
"Oct 19, 2022",2.369,,,,
"Oct 18, 2022",2.278,,,,
"Oct 17, 2022",2.271,,,,
"Oct 14, 2022",2.361,,,,
"Oct 13, 2022",2.3,,,,
"Oct 12, 2022",2.346,,,,
"Oct 11, 2022",2.308,,,,
"Oct 10, 2022",2.327,,,,
"Oct 07, 2022",2.197,,,,
"Oct 06, 2022",2.086,,,,
"Oct 05, 2022",2.017,,,,
"Oct 04, 2022",1.882,,,,
"Oct 03, 2022",1.894,,,,
"Sep 30, 2022",2.109,,,,
"Sep 29, 2022",2.208,,,,
"Sep 28, 2022",2.155,,,,
"Sep 27, 2022",2.252,,,,
"Sep 26, 2022",2.092,,,,
"Sep 23, 2022",2.031,,,,
"Sep 22, 2022",1.978,,,,
"Sep 21, 2022",1.892,,,,
"Sep 20, 2022",1.939,,,,
"Sep 19, 2022",1.791,,,,
"Sep 16, 2022",1.765,,,,
"Sep 15, 2022",1.741,,,,
"Sep 14, 2022",1.698,,,,
