"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","0.382","0.395","0.407","0.374","-4.74%"
"Dec 22, 2022","0.401","0.480","0.482","0.388","-16.98%"
"Dec 21, 2022","0.483","0.417","0.485","0.414","14.73%"
"Dec 20, 2022","0.421","0.255","0.470","0.250","64.45%"
"Dec 19, 2022","0.256","0.255","0.256","0.255","3.02%"
"Dec 18, 2022","0.249","0.249","0.249","0.249","-1.00%"
"Dec 16, 2022","0.251","0.254","0.256","0.251","-1.57%"
"Dec 15, 2022","0.255","0.252","0.257","0.251","1.59%"
"Dec 14, 2022","0.251","0.250","0.252","0.250","0.00%"
"Dec 13, 2022","0.251","0.250","0.252","0.250","0.00%"
"Dec 12, 2022","0.251","0.252","0.253","0.250","1.83%"
"Dec 11, 2022","0.247","0.246","0.247","0.246","-1.40%"
"Dec 09, 2022","0.250","0.250","0.251","0.250","0.00%"
"Dec 08, 2022","0.250","0.250","0.251","0.250","0.00%"
"Dec 07, 2022","0.250","0.250","0.251","0.250","-1.57%"
"Dec 06, 2022","0.254","0.254","0.255","0.250","1.20%"
"Dec 05, 2022","0.251","0.253","0.255","0.250","1.01%"
"Dec 04, 2022","0.249","0.249","0.249","0.249","-2.55%"
"Dec 02, 2022","0.255","0.250","0.256","0.250","0.00%"
"Dec 01, 2022","0.255","0.250","0.256","0.250","1.59%"
"Nov 30, 2022","0.251","0.251","0.251","0.250","0.00%"
"Nov 29, 2022","0.251","0.250","0.252","0.250","0.40%"
"Nov 28, 2022","0.250","0.250","0.251","0.250","1.42%"
"Nov 27, 2022","0.247","0.247","0.247","0.247","-1.40%"
"Nov 25, 2022","0.250","0.249","0.251","0.245","2.04%"
"Nov 24, 2022","0.245","0.244","0.246","0.240","1.87%"
"Nov 23, 2022","0.241","0.239","0.241","0.239","-1.84%"
"Nov 22, 2022","0.245","0.248","0.248","0.245","0.00%"
"Nov 21, 2022","0.245","0.250","0.250","0.245","0.41%"
"Nov 20, 2022","0.244","0.244","0.244","0.244","-0.41%"
"Nov 18, 2022","0.245","0.245","0.246","0.244","0.41%"
"Nov 17, 2022","0.244","0.243","0.246","0.242","-0.41%"
"Nov 16, 2022","0.245","0.240","0.245","0.235","-1.21%"
"Nov 15, 2022","0.248","0.244","0.248","0.240","3.33%"
"Nov 14, 2022","0.240","0.240","0.245","0.235","1.69%"
"Nov 13, 2022","0.236","0.235","0.236","0.235","-1.67%"
"Nov 11, 2022","0.240","0.239","0.241","0.235","-4.00%"
"Nov 10, 2022","0.250","0.250","0.251","0.250","0.00%"
"Nov 09, 2022","0.250","0.250","0.251","0.250","0.00%"
"Nov 08, 2022","0.250","0.254","0.254","0.250","0.00%"
"Nov 07, 2022","0.250","0.253","0.253","0.250","0.60%"
"Nov 06, 2022","0.249","0.249","0.249","0.249","-0.60%"
"Nov 04, 2022","0.250","0.251","0.251","0.250","1.42%"
"Nov 03, 2022","0.247","0.246","0.247","0.246","-1.40%"
"Nov 02, 2022","0.250","0.250","0.251","0.250","0.00%"
"Nov 01, 2022","0.250","0.246","0.250","0.246","4.17%"
"Oct 31, 2022","0.240","0.246","0.246","0.240","-0.41%"
"Oct 30, 2022","0.241","0.238","0.241","0.238","-1.63%"
"Oct 28, 2022","0.245","0.249","0.261","0.235","-3.92%"
"Oct 27, 2022","0.255","0.250","0.256","0.250","2.00%"
"Oct 26, 2022","0.250","0.250","0.255","0.250","-1.96%"
"Oct 25, 2022","0.255","0.254","0.256","0.250","0.00%"
"Oct 24, 2022","0.255","0.251","0.256","0.250","3.87%"
"Oct 23, 2022","0.245","0.249","0.249","0.245","-3.73%"
"Oct 21, 2022","0.255","0.251","0.255","0.250","2.00%"
"Oct 20, 2022","0.250","0.255","0.256","0.250","-1.19%"
"Oct 19, 2022","0.253","0.252","0.255","0.250","0.80%"
"Oct 18, 2022","0.251","0.253","0.255","0.250","0.40%"
"Oct 17, 2022","0.250","0.250","0.255","0.250","1.63%"
"Oct 16, 2022","0.246","0.246","0.246","0.246","-1.60%"
"Oct 14, 2022","0.250","0.250","0.250","0.250","0.00%"
"Oct 13, 2022","0.250","0.250","0.250","0.250","0.00%"
"Oct 12, 2022","0.250","0.250","0.251","0.250","0.00%"
"Oct 11, 2022","0.250","0.251","0.251","0.250","1.42%"
"Oct 10, 2022","0.247","0.246","0.247","0.246","-1.40%"
"Oct 07, 2022","0.250","0.250","0.250","0.250","0.00%"
"Oct 06, 2022","0.250","0.248","0.250","0.247","0.00%"
"Oct 05, 2022","0.250","0.248","0.250","0.245","9.17%"
"Oct 04, 2022","0.229","0.237","0.239","0.228","-4.58%"
"Oct 03, 2022","0.240","0.248","0.248","0.240","-0.41%"
"Oct 02, 2022","0.241","0.242","0.242","0.241","-1.63%"
"Sep 30, 2022","0.245","0.251","0.251","0.245","-2.00%"
"Sep 29, 2022","0.250","0.244","0.250","0.242","0.00%"
"Sep 28, 2022","0.250","0.251","0.251","0.250","0.00%"
"Sep 27, 2022","0.250","0.251","0.251","0.250","-0.40%"
"Sep 26, 2022","0.251","0.245","0.251","0.244","4.15%"
"Sep 25, 2022","0.241","0.239","0.241","0.239","2.55%"
"Sep 22, 2022","0.235","0.255","0.256","0.225","-7.84%"
"Sep 21, 2022","0.255","0.256","0.257","0.255","0.00%"
"Sep 20, 2022","0.255","0.256","0.256","0.255","1.80%"
"Sep 19, 2022","0.250","0.251","0.251","0.250","-1.76%"
"Sep 16, 2022","0.255","0.255","0.255","0.250","-0.39%"
"Sep 15, 2022","0.256","0.250","0.256","0.250","2.40%"
"Sep 14, 2022","0.250","0.250","0.251","0.249","2.04%"
