"Date","Price","Open","High","Low","Change %"
"Dec 22, 2022","4.375","4.390","4.390","4.370","-0.34%"
"Dec 21, 2022","4.390","4.375","4.403","4.350","0.34%"
"Dec 20, 2022","4.375","4.280","4.375","4.280","2.22%"
"Dec 19, 2022","4.280","4.308","4.325","4.270","-1.53%"
"Dec 18, 2022","4.346","4.330","4.346","4.330","0.89%"
"Dec 16, 2022","4.308","4.315","4.315","4.300","-0.16%"
"Dec 15, 2022","4.315","4.165","4.328","4.165","3.60%"
"Dec 14, 2022","4.165","4.165","4.165","4.165","-0.43%"
"Dec 13, 2022","4.183","4.130","4.183","4.130","1.28%"
"Dec 12, 2022","4.130","4.130","4.130","4.130","-0.18%"
"Dec 11, 2022","4.137","4.096","4.137","4.096","1.41%"
"Dec 09, 2022","4.080","4.050","4.100","4.050","0.74%"
"Dec 08, 2022","4.050","4.093","4.103","4.045","-1.05%"
"Dec 07, 2022","4.093","4.033","4.093","4.033","1.49%"
"Dec 06, 2022","4.033","4.000","4.033","4.000","0.82%"
"Dec 05, 2022","4.000","4.010","4.015","3.940","-0.76%"
"Dec 04, 2022","4.030","4.025","4.030","4.025","0.51%"
"Dec 02, 2022","4.010","4.105","4.105","4.010","-2.31%"
"Dec 01, 2022","4.105","4.100","4.145","4.010","0.12%"
"Nov 30, 2022","4.100","4.105","4.140","4.100","-0.12%"
"Nov 29, 2022","4.105","4.055","4.105","4.050","1.23%"
"Nov 28, 2022","4.055","4.143","4.188","4.055","-3.19%"
"Nov 27, 2022","4.188","4.161","4.207","4.161","1.10%"
"Nov 25, 2022","4.143","4.150","4.150","4.108","-0.17%"
"Nov 24, 2022","4.150","4.235","4.235","4.140","-2.01%"
"Nov 23, 2022","4.235","4.185","4.305","4.120","1.19%"
"Nov 22, 2022","4.185","4.220","4.283","4.185","-0.83%"
"Nov 21, 2022","4.220","4.203","4.235","4.203","-0.81%"
"Nov 20, 2022","4.254","4.222","4.254","4.222","1.23%"
"Nov 18, 2022","4.203","4.170","4.213","4.170","0.79%"
"Nov 17, 2022","4.170","4.248","4.248","4.138","-1.84%"
"Nov 16, 2022","4.248","4.263","4.263","4.210","-0.35%"
"Nov 15, 2022","4.263","4.318","4.365","4.263","-1.27%"
"Nov 14, 2022","4.318","4.270","4.353","4.270","-0.15%"
"Nov 13, 2022","4.325","4.291","4.325","4.291","1.28%"
"Nov 11, 2022","4.270","4.443","4.443","4.248","-3.89%"
"Nov 10, 2022","4.443","4.605","4.605","4.443","-3.52%"
"Nov 09, 2022","4.605","4.693","4.693","4.593","-1.88%"
"Nov 08, 2022","4.693","4.583","4.703","4.583","2.40%"
"Nov 07, 2022","4.583","4.570","4.583","4.538","0.36%"
"Nov 06, 2022","4.567","4.597","4.597","4.564","-0.08%"
"Nov 04, 2022","4.570","4.568","4.623","4.568","0.04%"
"Nov 03, 2022","4.568","4.465","4.618","4.465","2.31%"
"Nov 02, 2022","4.465","4.310","4.465","4.300","3.60%"
"Nov 01, 2022","4.310","4.198","4.310","4.198","3.11%"
"Oct 31, 2022","4.180","4.265","4.300","4.168","-2.91%"
"Oct 30, 2022","4.306","4.286","4.323","4.286","0.76%"
"Oct 28, 2022","4.273","4.328","4.328","4.213","-1.43%"
"Oct 27, 2022","4.335","4.485","4.485","4.318","-3.26%"
"Oct 26, 2022","4.481","4.578","4.578","4.408","-2.05%"
"Oct 25, 2022","4.575","4.655","4.665","4.565","-0.96%"
"Oct 24, 2022","4.620","4.686","4.695","4.620","-0.76%"
"Oct 21, 2022","4.655","4.660","4.703","4.633","-0.11%"
"Oct 20, 2022","4.660","4.673","4.825","4.648","-0.43%"
"Oct 19, 2022","4.680","4.548","4.684","4.548","3.24%"
"Oct 18, 2022","4.533","4.518","4.635","4.506","0.67%"
"Oct 17, 2022","4.503","4.485","4.550","4.485","-0.98%"
"Oct 16, 2022","4.548","4.511","4.548","4.511","1.21%"
"Oct 14, 2022","4.493","4.475","4.553","4.458","-0.04%"
"Oct 13, 2022","4.495","4.475","4.518","4.458","0.45%"
"Oct 12, 2022","4.475","4.485","4.510","4.470","-0.56%"
"Oct 11, 2022","4.500","4.373","4.500","4.373","3.14%"
"Oct 10, 2022","4.363","4.268","4.373","4.260","0.52%"
"Oct 09, 2022","4.340","4.290","4.340","4.281","1.51%"
"Oct 07, 2022","4.276","4.155","4.276","4.155","2.84%"
"Oct 06, 2022","4.158","4.043","4.168","4.043","2.77%"
"Oct 05, 2022","4.046","4.150","4.150","4.015","-2.25%"
"Oct 04, 2022","4.139","4.275","4.275","4.128","-3.52%"
"Oct 03, 2022","4.290","4.295","4.295","4.275","-0.15%"
"Oct 02, 2022","4.297","4.318","4.318","4.297","0.06%"
"Sep 30, 2022","4.294","4.198","4.308","4.198","2.21%"
"Sep 29, 2022","4.201","4.333","4.333","4.143","-3.05%"
"Sep 28, 2022","4.333","4.280","4.333","4.280","1.24%"
"Sep 27, 2022","4.280","4.145","4.305","4.145","-0.45%"
"Sep 26, 2022","4.299","4.163","4.301","4.163","3.73%"
"Sep 23, 2022","4.145","4.030","4.185","3.995","3.16%"
"Sep 22, 2022","4.018","4.030","4.060","3.995","-0.30%"
"Sep 21, 2022","4.030","3.973","4.058","3.973","1.43%"
"Sep 20, 2022","3.973","4.030","4.030","3.973","-1.41%"
"Sep 19, 2022","4.030","4.065","4.075","4.030","-1.53%"
"Sep 18, 2022","4.093","4.082","4.093","4.082","0.68%"
"Sep 16, 2022","4.065","3.978","4.075","3.978","2.19%"
"Sep 15, 2022","3.978","4.013","4.048","3.978","-0.87%"
"Sep 14, 2022","4.013","3.905","4.013","3.905","2.77%"
