"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","1.503","1.489","1.527","1.470","0.94%"
"Dec 22, 2022","1.489","1.470","1.541","1.435","-2.23%"
"Dec 21, 2022","1.523","1.423","1.523","1.421","4.39%"
"Dec 20, 2022","1.459","1.345","1.459","1.310","13.45%"
"Dec 19, 2022","1.286","1.260","1.286","1.260","0.00%"
"Dec 16, 2022","1.286","1.243","1.286","1.238","6.02%"
"Dec 15, 2022","1.213","1.178","1.232","1.111","5.30%"
"Dec 14, 2022","1.152","1.170","1.207","1.147","-1.54%"
"Dec 13, 2022","1.170","1.270","1.270","1.143","-2.01%"
"Dec 12, 2022","1.194","1.202","1.202","1.143","0.93%"
"Dec 09, 2022","1.183","1.095","1.183","1.043","11.92%"
"Dec 08, 2022","1.057","1.063","1.079","1.030","2.72%"
"Dec 07, 2022","1.029","0.974","1.077","0.974","2.80%"
"Dec 06, 2022","1.001","1.105","1.105","0.996","-7.83%"
"Dec 05, 2022","1.086","1.056","1.086","1.025","3.82%"
"Dec 02, 2022","1.046","1.055","1.073","0.990","-0.57%"
"Dec 01, 2022","1.052","1.094","1.094","1.026","-5.90%"
"Nov 30, 2022","1.118","1.074","1.138","1.074","5.47%"
"Nov 29, 2022","1.060","1.015","1.066","1.002","1.05%"
"Nov 28, 2022","1.049","1.027","1.085","1.021","-2.24%"
"Nov 25, 2022","1.073","0.954","1.075","0.954","13.07%"
"Nov 24, 2022","0.949","0.963","0.975","0.928","-4.33%"
"Nov 23, 2022","0.992","1.029","1.052","0.992","-2.36%"
"Nov 22, 2022","1.016","1.045","1.045","1.000","2.01%"
"Nov 21, 2022","0.996","1.036","1.062","0.984","-4.87%"
"Nov 18, 2022","1.047","1.057","1.113","1.018","-2.42%"
"Nov 17, 2022","1.073","1.028","1.073","0.989","3.67%"
"Nov 16, 2022","1.035","1.126","1.126","1.012","-4.26%"
"Nov 15, 2022","1.081","1.122","1.135","1.069","-4.17%"
"Nov 14, 2022","1.128","1.098","1.130","1.053","1.08%"
"Nov 11, 2022","1.116","1.009","1.121","1.004","14.23%"
"Nov 10, 2022","0.977","1.091","1.127","0.958","-10.69%"
"Nov 09, 2022","1.094","1.139","1.158","1.077","-3.95%"
"Nov 08, 2022","1.139","1.222","1.242","1.127","-5.79%"
"Nov 07, 2022","1.209","1.226","1.250","1.156","-1.87%"
"Nov 04, 2022","1.232","1.199","1.232","1.141","0.41%"
"Nov 03, 2022","1.227","1.276","1.276","1.133","6.42%"
"Nov 02, 2022","1.153","1.163","1.187","1.106","-0.26%"
"Nov 01, 2022","1.156","1.113","1.165","1.072","-2.28%"
"Oct 31, 2022","1.183","1.147","1.183","1.069","4.97%"
"Oct 28, 2022","1.127","1.046","1.183","1.039","4.06%"
"Oct 27, 2022","1.083","1.194","1.237","1.069","-10.57%"
"Oct 26, 2022","1.211","1.216","1.255","1.164","-1.54%"
"Oct 25, 2022","1.230","1.257","1.294","1.185","-8.89%"
"Oct 24, 2022","1.350","1.291","1.355","1.233","-1.39%"
"Oct 21, 2022","1.369","1.398","1.419","1.319","1.26%"
"Oct 20, 2022","1.352","1.338","1.353","1.255","2.35%"
"Oct 19, 2022","1.321","1.282","1.326","1.272","5.09%"
"Oct 18, 2022","1.257","1.285","1.348","1.242","-5.56%"
"Oct 17, 2022","1.331","1.314","1.331","1.269","-4.11%"
"Oct 14, 2022","1.388","1.279","1.388","1.239","-0.64%"
"Oct 13, 2022","1.397","1.447","1.494","1.340","-6.12%"
"Oct 12, 2022","1.488","1.491","1.523","1.470","0.07%"
"Oct 11, 2022","1.487","1.475","1.542","1.444","-1.06%"
"Oct 10, 2022","1.503","1.376","1.535","1.340","8.44%"
"Oct 07, 2022","1.386","1.287","1.394","1.287","12.14%"
"Oct 06, 2022","1.236","1.161","1.242","1.130","9.09%"
"Oct 05, 2022","1.133","1.005","1.175","0.989","14.91%"
"Oct 04, 2022","0.986","1.078","1.088","0.913","-4.46%"
"Oct 03, 2022","1.032","1.241","1.241","1.032","-16.57%"
"Sep 30, 2022","1.237","1.285","1.285","1.183","-5.57%"
"Sep 29, 2022","1.310","1.422","1.422","1.295","-2.89%"
"Sep 28, 2022","1.349","1.569","1.594","1.349","-12.35%"
"Sep 27, 2022","1.539","1.456","1.539","1.349","10.01%"
"Sep 26, 2022","1.399","1.439","1.461","1.377","2.79%"
"Sep 23, 2022","1.361","1.375","1.459","1.283","0.29%"
"Sep 22, 2022","1.357","1.299","1.360","1.208","4.46%"
"Sep 21, 2022","1.299","1.260","1.303","1.242","-0.08%"
"Sep 20, 2022","1.300","1.130","1.300","1.124","16.49%"
"Sep 19, 2022","1.116","1.086","1.148","1.057","-1.15%"
"Sep 16, 2022","1.129","1.093","1.129","1.064","4.34%"
"Sep 15, 2022","1.082","1.090","1.134","1.074","1.50%"
"Sep 14, 2022","1.066","1.073","1.154","1.023","-2.11%"
