"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","5.092","5.092","5.092","5.092","0.00%"
"Dec 22, 2022","5.092","5.092","5.092","5.092","-0.49%"
"Dec 21, 2022","5.117","5.117","5.117","5.117","0.00%"
"Dec 20, 2022","5.117","5.117","5.117","5.117","-0.10%"
"Dec 19, 2022","5.122","5.122","5.122","5.122","-0.14%"
"Dec 16, 2022","5.129","5.129","5.129","5.129","0.00%"
"Dec 15, 2022","5.129","5.129","5.129","5.129","-0.18%"
"Dec 14, 2022","5.138","5.138","5.138","5.138","0.00%"
"Dec 13, 2022","5.138","5.138","5.138","5.138","-0.10%"
"Dec 12, 2022","5.143","5.143","5.143","5.143","0.00%"
"Dec 09, 2022","5.143","5.143","5.143","5.143","-0.17%"
"Dec 08, 2022","5.152","5.152","5.152","5.152","-0.35%"
"Dec 07, 2022","5.170","5.170","5.170","5.170","0.00%"
"Dec 06, 2022","5.170","5.170","5.170","5.170","0.14%"
"Dec 05, 2022","5.163","5.163","5.163","5.163","-0.10%"
"Dec 02, 2022","5.168","5.168","5.168","5.168","0.00%"
"Dec 01, 2022","5.168","5.168","5.168","5.168","0.08%"
"Nov 30, 2022","5.164","5.164","5.164","5.164","0.17%"
"Nov 29, 2022","5.155","5.155","5.155","5.155","-0.08%"
"Nov 28, 2022","5.159","5.159","5.159","5.159","0.00%"
"Nov 25, 2022","5.159","5.159","5.159","5.159","0.00%"
"Nov 24, 2022","5.159","5.159","5.159","5.159","0.25%"
"Nov 23, 2022","5.146","5.146","5.146","5.146","0.00%"
"Nov 22, 2022","5.146","5.146","5.146","5.146","0.08%"
"Nov 21, 2022","5.142","5.142","5.142","5.142","0.00%"
"Nov 18, 2022","5.142","5.142","5.142","5.142","0.25%"
"Nov 17, 2022","5.129","5.129","5.129","5.129","-0.35%"
"Nov 16, 2022","5.147","5.147","5.147","5.147","-0.08%"
"Nov 15, 2022","5.151","5.151","5.151","5.151","0.19%"
"Nov 14, 2022","5.141","5.141","5.141","5.141","-0.52%"
"Nov 11, 2022","5.168","5.168","5.168","5.168","0.08%"
"Nov 10, 2022","5.164","5.164","5.164","5.164","-0.06%"
"Nov 09, 2022","5.167","5.167","5.167","5.167","-0.19%"
"Nov 08, 2022","5.177","5.177","5.177","5.177","-0.50%"
"Nov 07, 2022","5.203","5.203","5.203","5.203","-0.12%"
"Nov 04, 2022","5.209","5.209","5.209","5.209","0.00%"
"Nov 03, 2022","5.209","5.209","5.209","5.209","0.37%"
"Nov 02, 2022","5.190","5.190","5.190","5.190","-0.08%"
"Nov 01, 2022","5.194","5.194","5.194","5.194","0.00%"
"Oct 31, 2022","5.194","5.194","5.194","5.194","0.10%"
"Oct 28, 2022","5.189","5.189","5.189","5.189","-0.29%"
"Oct 27, 2022","5.204","5.204","5.204","5.204","0.62%"
"Oct 26, 2022","5.172","5.172","5.172","5.172","0.25%"
"Oct 25, 2022","5.159","5.159","5.159","5.159","1.26%"
"Oct 24, 2022","5.095","5.095","5.095","5.095","0.33%"
"Oct 21, 2022","5.078","5.078","5.078","5.078","0.55%"
"Oct 20, 2022","5.050","5.050","5.050","5.050","-0.02%"
"Oct 19, 2022","5.051","5.051","5.051","5.051","-0.10%"
"Oct 18, 2022","5.056","5.056","5.056","5.056","-1.48%"
"Oct 17, 2022","5.132","5.132","5.132","5.132","-0.75%"
"Oct 14, 2022","5.171","5.171","5.171","5.171","0.00%"
"Oct 13, 2022","5.171","5.171","5.171","5.171","-0.17%"
"Oct 12, 2022","5.180","5.180","5.180","5.180","0.50%"
"Oct 11, 2022","5.154","5.154","5.154","5.154","0.45%"
"Oct 10, 2022","5.131","5.131","5.131","5.131","-0.21%"
"Oct 07, 2022","5.142","5.142","5.142","5.142","0.37%"
"Oct 06, 2022","5.123","5.123","5.123","5.123","-0.10%"
"Oct 05, 2022","5.128","5.128","5.128","5.128","0.25%"
"Oct 04, 2022","5.115","5.115","5.115","5.115","1.75%"
"Oct 03, 2022","5.027","4.975","5.027","4.975","0.22%"
"Sep 30, 2022","5.016","4.975","5.016","4.975","0.82%"
"Sep 29, 2022","4.975","4.975","4.975","4.975","-1.00%"
"Sep 28, 2022","5.025","5.025","5.025","5.025","3.10%"
"Sep 27, 2022","4.874","4.874","4.874","4.874","4.44%"
"Sep 26, 2022","4.667","4.667","4.667","4.667","0.47%"
"Sep 23, 2022","4.645","4.645","4.645","4.645","2.52%"
"Sep 22, 2022","4.531","4.531","4.531","4.531","5.25%"
"Sep 21, 2022","4.305","4.305","4.305","4.305","9.18%"
"Sep 20, 2022","3.943","3.943","3.943","3.943","1.21%"
"Sep 19, 2022","3.896","3.896","3.896","3.896","-0.10%"
"Sep 16, 2022","3.900","3.900","3.900","3.900","0.98%"
"Sep 15, 2022","3.862","3.862","3.862","3.862","0.26%"
"Sep 14, 2022","3.852","3.852","3.852","3.852","1.29%"
