"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","4.173","4.121","4.199","4.121","1.26%"
"Dec 22, 2022","4.121","4.178","4.178","4.121","-1.36%"
"Dec 21, 2022","4.178","4.222","4.222","4.178","-1.04%"
"Dec 20, 2022","4.222","4.229","4.229","4.222","-0.17%"
"Dec 19, 2022","4.229","4.268","4.268","4.229","-1.56%"
"Dec 16, 2022","4.296","4.314","4.325","4.296","-0.42%"
"Dec 15, 2022","4.314","4.276","4.314","4.276","0.89%"
"Dec 14, 2022","4.276","4.414","4.414","4.276","-3.15%"
"Dec 13, 2022","4.415","4.398","4.436","4.398","0.39%"
"Dec 12, 2022","4.398","4.409","4.409","4.398","1.90%"
"Dec 09, 2022","4.316","4.333","4.344","4.316","-0.39%"
"Dec 08, 2022","4.333","4.405","4.405","4.333","-2.37%"
"Dec 07, 2022","4.438","4.526","4.526","4.438","-1.94%"
"Dec 06, 2022","4.526","4.466","4.526","4.466","1.34%"
"Dec 05, 2022","4.466","4.450","4.466","4.450","1.11%"
"Dec 02, 2022","4.417","4.385","4.417","4.385","-0.52%"
"Dec 01, 2022","4.440","4.576","4.576","4.418","-2.97%"
"Nov 30, 2022","4.576","4.544","4.576","4.544","0.70%"
"Nov 29, 2022","4.544","4.598","4.598","4.544","-1.17%"
"Nov 28, 2022","4.598","4.566","4.598","4.566","0.70%"
"Nov 25, 2022","4.566","4.568","4.568","4.535","-0.07%"
"Nov 24, 2022","4.569","4.569","4.569","4.569","-0.33%"
"Nov 23, 2022","4.584","4.563","4.584","4.530","0.46%"
"Nov 22, 2022","4.563","4.544","4.589","4.544","-0.87%"
"Nov 21, 2022","4.603","4.525","4.603","4.525","3.72%"
"Nov 18, 2022","4.438","4.394","4.443","4.394","1.00%"
"Nov 17, 2022","4.394","4.447","4.447","4.394","-1.19%"
"Nov 16, 2022","4.447","4.470","4.470","4.414","-0.51%"
"Nov 15, 2022","4.470","4.492","4.492","4.470","-0.49%"
"Nov 14, 2022","4.492","4.477","4.492","4.477","1.58%"
"Nov 11, 2022","4.422","4.654","4.654","4.415","-4.98%"
"Nov 10, 2022","4.654","4.682","4.682","4.639","-0.60%"
"Nov 09, 2022","4.682","4.686","4.686","4.667","-0.09%"
"Nov 08, 2022","4.686","4.622","4.686","4.622","1.38%"
"Nov 07, 2022","4.622","4.650","4.650","4.622","-0.60%"
"Nov 04, 2022","4.650","4.648","4.650","4.648","1.11%"
"Nov 03, 2022","4.599","4.560","4.599","4.560","2.40%"
"Nov 02, 2022","4.491","4.437","4.491","4.437","1.22%"
"Nov 01, 2022","4.437","4.529","4.529","4.437","-2.03%"
"Oct 31, 2022","4.529","4.529","4.529","4.529","3.45%"
"Oct 28, 2022","4.378","4.491","4.491","4.341","-2.52%"
"Oct 27, 2022","4.491","4.525","4.525","4.489","-0.75%"
"Oct 26, 2022","4.525","4.655","4.655","4.525","-2.79%"
"Oct 25, 2022","4.655","4.532","4.655","4.532","2.71%"
"Oct 24, 2022","4.532","4.518","4.532","4.518","-1.52%"
"Oct 21, 2022","4.602","4.582","4.602","4.582","1.75%"
"Oct 20, 2022","4.523","4.503","4.523","4.503","1.80%"
"Oct 19, 2022","4.443","4.411","4.443","4.411","0.32%"
"Oct 18, 2022","4.429","4.439","4.439","4.427","-0.23%"
"Oct 17, 2022","4.439","4.395","4.448","4.395","1.00%"
"Oct 14, 2022","4.395","4.377","4.395","4.377","3.46%"
"Oct 13, 2022","4.248","4.205","4.248","4.205","2.58%"
"Oct 12, 2022","4.141","4.180","4.180","4.139","-0.93%"
"Oct 11, 2022","4.180","4.120","4.180","4.120","1.46%"
"Oct 10, 2022","4.120","4.095","4.120","4.095","1.75%"
"Oct 07, 2022","4.049","4.044","4.049","4.044","2.32%"
"Oct 06, 2022","3.957","3.939","3.957","3.939","1.05%"
"Oct 05, 2022","3.916","3.977","3.977","3.886","-1.05%"
"Oct 04, 2022","3.957","3.956","3.957","3.956","-0.49%"
"Oct 03, 2022","3.977","3.974","3.977","3.974","0.63%"
"Sep 30, 2022","3.952","4.010","4.010","3.952","-2.01%"
"Sep 29, 2022","4.033","3.997","4.033","3.997","-1.61%"
"Sep 28, 2022","4.099","4.086","4.099","4.086","0.32%"
"Sep 27, 2022","4.086","4.107","4.107","4.086","-0.51%"
"Sep 26, 2022","4.107","4.038","4.107","4.038","4.34%"
"Sep 23, 2022","3.936","3.926","3.936","3.926","0.25%"
"Sep 22, 2022","3.926","3.739","3.926","3.739","5.00%"
"Sep 21, 2022","3.739","3.739","3.739","3.739","0.48%"
"Sep 20, 2022","3.721","3.721","3.721","3.721","0.62%"
"Sep 19, 2022","3.698","3.669","3.698","3.669","0.79%"
"Sep 16, 2022","3.669","3.594","3.669","3.594","2.09%"
"Sep 15, 2022","3.594","3.549","3.594","3.549","1.27%"
"Sep 14, 2022","3.549","3.317","3.575","3.317","6.99%"
