"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","3.162","3.123","3.205","3.100","1.25%"
"Dec 22, 2022","3.123","3.144","3.147","3.075","0.58%"
"Dec 21, 2022","3.105","3.166","3.178","3.081","-1.99%"
"Dec 20, 2022","3.168","3.181","3.209","3.139","1.54%"
"Dec 19, 2022","3.120","3.144","3.147","3.106","0.06%"
"Dec 16, 2022","3.118","3.166","3.264","3.090","3.52%"
"Dec 15, 2022","3.012","2.749","3.041","2.724","12.26%"
"Dec 14, 2022","2.683","2.638","2.713","2.638","1.78%"
"Dec 13, 2022","2.636","2.678","2.697","2.574","-1.38%"
"Dec 12, 2022","2.673","2.675","2.703","2.644","1.79%"
"Dec 09, 2022","2.626","2.559","2.661","2.555","3.59%"
"Dec 08, 2022","2.535","2.486","2.553","2.471","1.77%"
"Dec 07, 2022","2.491","2.588","2.595","2.476","-3.04%"
"Dec 06, 2022","2.569","2.679","2.682","2.554","-3.13%"
"Dec 05, 2022","2.652","2.622","2.664","2.605","1.18%"
"Dec 02, 2022","2.621","2.546","2.643","2.485","2.58%"
"Dec 01, 2022","2.555","2.628","2.639","2.503","-5.41%"
"Nov 30, 2022","2.701","2.718","2.731","2.670","1.50%"
"Nov 29, 2022","2.661","2.720","2.720","2.632","-3.90%"
"Nov 28, 2022","2.769","2.729","2.812","2.707","2.10%"
"Nov 25, 2022","2.712","2.695","2.761","2.670","3.35%"
"Nov 24, 2022","2.624","2.686","2.692","2.609","-2.78%"
"Nov 23, 2022","2.699","2.781","2.797","2.663","-1.39%"
"Nov 22, 2022","2.737","2.759","2.780","2.709","0.62%"
"Nov 21, 2022","2.720","2.680","2.728","2.657","3.11%"
"Nov 19, 2022","2.638","2.638","2.638","2.638","-0.19%"
"Nov 18, 2022","2.643","2.712","2.792","2.630","-2.51%"
"Nov 17, 2022","2.711","2.687","2.752","2.655","0.00%"
"Nov 16, 2022","2.711","2.727","2.732","2.653","0.00%"
"Nov 15, 2022","2.711","2.761","2.802","2.700","-3.04%"
"Nov 14, 2022","2.796","2.863","2.874","2.770","-1.24%"
"Nov 11, 2022","2.831","2.628","2.847","2.628","10.16%"
"Nov 10, 2022","2.570","2.838","2.898","2.561","-9.09%"
"Nov 09, 2022","2.827","2.842","2.923","2.808","-1.74%"
"Nov 08, 2022","2.877","2.956","2.975","2.870","-1.34%"
"Nov 07, 2022","2.916","2.934","2.942","2.865","0.97%"
"Nov 04, 2022","2.888","2.850","2.935","2.812","1.01%"
"Nov 03, 2022","2.859","2.876","2.890","2.787","3.51%"
"Nov 02, 2022","2.762","2.713","2.791","2.621","1.54%"
"Nov 01, 2022","2.720","2.713","2.741","2.621","-1.70%"
"Oct 31, 2022","2.767","2.677","2.767","2.674","5.33%"
"Oct 28, 2022","2.627","2.510","2.694","2.489","6.49%"
"Oct 27, 2022","2.467","2.798","2.854","2.417","-10.13%"
"Oct 26, 2022","2.745","2.793","2.838","2.725","-5.54%"
"Oct 25, 2022","2.906","2.848","2.884","2.744","0.00%"
"Oct 24, 2022","2.906","2.974","3.033","2.894","-4.75%"
"Oct 21, 2022","3.051","3.166","3.196","3.036","-0.46%"
"Oct 20, 2022","3.065","3.187","3.193","3.049","-0.03%"
"Oct 19, 2022","3.066","3.027","3.149","3.011","3.20%"
"Oct 18, 2022","2.971","2.975","3.033","2.921","0.00%"
"Oct 17, 2022","2.971","2.996","3.119","2.939","0.05%"
"Oct 16, 2022","2.970","2.970","2.970","2.970","-0.92%"
"Oct 14, 2022","2.997","2.903","3.004","2.836","1.18%"
"Oct 13, 2022","2.962","2.992","3.090","2.870","-0.40%"
"Oct 12, 2022","2.974","2.940","3.042","2.890","1.95%"
"Oct 11, 2022","2.917","3.001","3.007","2.911","-0.55%"
"Oct 10, 2022","2.933","3.170","3.170","2.887","-5.39%"
"Oct 07, 2022","3.100","3.022","3.131","2.936","6.68%"
"Oct 06, 2022","2.906","2.832","2.941","2.801","4.20%"
"Oct 05, 2022","2.789","2.629","2.825","2.622","7.31%"
"Oct 04, 2022","2.599","2.554","2.616","2.453","-1.07%"
"Oct 03, 2022","2.627","2.931","2.944","2.623","-8.34%"
"Sep 30, 2022","2.866","2.931","2.934","2.838","-5.16%"
"Sep 29, 2022","3.022","3.121","3.154","2.969","-8.12%"
"Sep 28, 2022","3.289","3.346","3.390","3.040","5.01%"
"Sep 27, 2022","3.132","3.257","3.304","3.105","0.00%"
"Sep 26, 2022","3.132","3.141","3.184","3.048","3.23%"
"Sep 23, 2022","3.034","2.831","3.043","2.760","7.74%"
"Sep 22, 2022","2.816","2.886","2.895","2.726","2.44%"
"Sep 21, 2022","2.749","2.699","2.765","2.656","1.14%"
"Sep 20, 2022","2.718","2.654","2.758","2.622","3.62%"
"Sep 19, 2022","2.623","2.571","2.660","2.571","1.04%"
"Sep 17, 2022","2.596","2.596","2.596","2.596","-1.07%"
"Sep 16, 2022","2.624","2.633","2.670","2.596","5.72%"
"Sep 15, 2022","2.482","2.549","2.589","2.494","0.00%"
"Sep 14, 2022","2.482","2.431","2.543","2.430","1.18%"
