"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","8.660","8.730","8.730","8.580","0.46%"
"Dec 22, 2022","8.620","8.740","8.740","8.580","-0.81%"
"Dec 21, 2022","8.690","8.880","8.880","8.490","0.23%"
"Dec 20, 2022","8.670","8.670","8.730","8.570","0.12%"
"Dec 19, 2022","8.660","8.340","8.720","8.270","3.96%"
"Dec 16, 2022","8.330","8.840","8.840","8.240","-0.83%"
"Dec 15, 2022","8.400","8.150","8.400","8.010","2.69%"
"Dec 14, 2022","8.180","8.340","8.340","8.130","0.00%"
"Dec 13, 2022","8.180","8.450","8.450","8.110","-2.62%"
"Dec 12, 2022","8.400","8.500","8.500","8.370","-1.06%"
"Dec 09, 2022","8.490","8.590","8.590","8.110","0.59%"
"Dec 08, 2022","8.440","8.550","8.550","8.360","-0.71%"
"Dec 07, 2022","8.500","8.590","8.590","8.430","-0.35%"
"Dec 06, 2022","8.530","8.570","8.570","8.470","-0.12%"
"Dec 05, 2022","8.540","8.580","8.590","8.440","0.12%"
"Dec 02, 2022","8.530","8.560","8.560","8.430","0.71%"
"Dec 01, 2022","8.470","8.520","8.520","8.440","-0.12%"
"Nov 30, 2022","8.480","8.510","8.510","8.350","0.36%"
"Nov 29, 2022","8.450","8.520","8.520","8.430","0.24%"
"Nov 28, 2022","8.430","8.620","8.620","8.390","0.12%"
"Nov 25, 2022","8.420","9.900","9.900","8.360","0.12%"
"Nov 24, 2022","8.410","8.990","8.990","8.380","-0.24%"
"Nov 23, 2022","8.430","8.980","8.980","8.400","0.00%"
"Nov 22, 2022","8.430","8.470","8.520","8.380","0.36%"
"Nov 21, 2022","8.400","9.080","9.080","8.370","0.24%"
"Nov 18, 2022","8.380","8.530","8.530","8.380","0.36%"
"Nov 17, 2022","8.350","10.370","10.370","8.320","-1.07%"
"Nov 16, 2022","8.440","8.540","8.630","8.410","-0.47%"
"Nov 15, 2022","8.480","8.540","8.540","8.430","0.24%"
"Nov 14, 2022","8.460","8.640","8.640","8.430","0.36%"
"Nov 11, 2022","8.430","8.490","8.530","8.380","-0.24%"
"Nov 10, 2022","8.450","8.580","8.580","8.380","-0.71%"
"Nov 09, 2022","8.510","8.450","8.540","8.360","0.47%"
"Nov 08, 2022","8.470","8.470","8.530","8.320","0.36%"
"Nov 07, 2022","8.440","8.400","8.510","8.400","-0.12%"
"Nov 03, 2022","8.450","8.570","8.570","8.440","0.00%"
"Nov 02, 2022","8.450","8.570","8.570","8.300","0.24%"
"Nov 01, 2022","8.430","8.350","8.500","8.240","0.48%"
"Oct 31, 2022","8.390","8.540","8.540","8.250","0.60%"
"Oct 28, 2022","8.340","8.350","8.350","8.290","0.97%"
"Oct 27, 2022","8.260","8.260","8.310","8.100","0.24%"
"Oct 26, 2022","8.240","8.300","8.300","8.170","0.00%"
"Oct 25, 2022","8.240","8.200","8.280","8.170","0.73%"
"Oct 24, 2022","8.180","8.220","8.220","8.100","0.99%"
"Oct 21, 2022","8.100","8.260","8.440","8.090","-1.82%"
"Oct 20, 2022","8.250","8.400","8.400","8.210","-0.60%"
"Oct 19, 2022","8.300","8.510","8.510","8.240","-0.95%"
"Oct 18, 2022","8.380","8.490","8.490","8.220","-20.27%"
"Oct 17, 2022","10.510","10.770","10.770","10.390","-1.59%"
"Oct 14, 2022","10.680","10.780","10.840","10.610","-0.65%"
"Oct 13, 2022","10.750","10.790","10.900","10.580","0.09%"
"Oct 12, 2022","10.740","10.830","10.830","10.550","0.47%"
"Oct 11, 2022","10.690","10.800","10.920","10.650","-1.84%"
"Oct 10, 2022","10.890","10.860","10.920","10.590","2.16%"
"Oct 07, 2022","10.660","10.870","10.870","10.630","-0.84%"
"Oct 06, 2022","10.750","11.290","11.290","10.700","-0.28%"
"Oct 05, 2022","10.780","11.150","11.150","10.440","0.65%"
"Oct 04, 2022","10.710","11.200","11.200","10.610","-0.74%"
"Oct 03, 2022","10.790","11.120","11.190","10.760","-3.66%"
"Sep 30, 2022","11.200","11.630","11.630","11.040","1.36%"
"Sep 29, 2022","11.050","11.070","11.140","10.560","5.14%"
"Sep 28, 2022","10.510","11.060","11.060","10.420","0.57%"
"Sep 27, 2022","10.450","11.040","11.040","10.410","-2.25%"
"Sep 26, 2022","10.690","10.500","11.660","10.500","1.42%"
"Sep 23, 2022","10.540","10.250","10.740","10.210","3.64%"
"Sep 22, 2022","10.170","10.270","10.270","10.040","-0.68%"
"Sep 21, 2022","10.240","11.980","11.980","10.110","1.79%"
"Sep 20, 2022","10.060","9.600","10.060","9.530","5.67%"
"Sep 19, 2022","9.520","9.640","9.670","9.370","1.49%"
"Sep 16, 2022","9.380","9.270","9.440","9.200","0.97%"
"Sep 15, 2022","9.290","9.350","9.440","9.200","-0.54%"
"Sep 14, 2022","9.340","9.570","9.570","9.330","-0.11%"
