"Date","Price","Open","High","Low","Change %"
"Dec 24, 2022","3.066","3.066","3.066","3.066","0.21%"
"Dec 23, 2022","3.060","3.097","3.097","3.042","0.23%"
"Dec 22, 2022","3.053","3.072","3.072","3.029","-1.20%"
"Dec 21, 2022","3.090","3.084","3.102","3.053","0.00%"
"Dec 20, 2022","3.090","3.059","3.108","3.059","1.01%"
"Dec 19, 2022","3.059","3.114","3.126","3.053","-2.00%"
"Dec 18, 2022","3.122","3.122","3.122","3.122","0.00%"
"Dec 17, 2022","3.122","3.122","3.122","3.122","0.24%"
"Dec 16, 2022","3.114","3.181","3.181","3.108","-2.08%"
"Dec 15, 2022","3.180","3.180","3.211","3.168","-0.93%"
"Dec 14, 2022","3.210","3.228","3.228","3.150","0.00%"
"Dec 13, 2022","3.210","3.258","3.277","3.210","-1.83%"
"Dec 12, 2022","3.270","3.240","3.288","3.240","0.26%"
"Dec 10, 2022","3.261","3.261","3.261","3.261","0.32%"
"Dec 09, 2022","3.251","3.251","3.270","3.227","1.34%"
"Dec 08, 2022","3.208","3.238","3.268","3.196","-0.56%"
"Dec 07, 2022","3.226","3.238","3.238","3.208","-0.92%"
"Dec 06, 2022","3.256","3.202","3.256","3.196","1.15%"
"Dec 05, 2022","3.219","3.165","3.219","3.165","1.42%"
"Dec 04, 2022","3.174","3.174","3.174","3.174","-0.09%"
"Dec 02, 2022","3.177","3.135","3.207","3.076","1.92%"
"Dec 01, 2022","3.117","3.147","3.158","3.058","-0.73%"
"Nov 30, 2022","3.140","3.140","3.158","3.099","1.91%"
"Nov 29, 2022","3.081","3.028","3.146","3.028","1.75%"
"Nov 28, 2022","3.028","3.022","3.051","3.004","-0.03%"
"Nov 26, 2022","3.029","3.029","3.029","3.029","0.23%"
"Nov 25, 2022","3.022","3.022","3.040","3.010","-0.56%"
"Nov 24, 2022","3.039","3.039","3.045","2.981","0.00%"
"Nov 23, 2022","3.039","3.051","3.051","3.022","-0.39%"
"Nov 22, 2022","3.051","3.033","3.051","3.028","0.00%"
"Nov 21, 2022","3.051","3.033","3.074","3.033","0.59%"
"Nov 18, 2022","3.033","3.033","3.086","3.016","0.00%"
"Nov 17, 2022","3.033","3.091","3.091","3.022","-1.88%"
"Nov 16, 2022","3.091","3.085","3.097","3.045","0.75%"
"Nov 15, 2022","3.068","3.120","3.120","3.062","-1.67%"
"Nov 14, 2022","3.120","3.120","3.137","3.114","-0.30%"
"Nov 12, 2022","3.129","3.129","3.129","3.129","0.50%"
"Nov 11, 2022","3.114","3.212","3.212","3.039","-2.14%"
"Nov 10, 2022","3.182","3.194","3.211","3.171","-0.53%"
"Nov 09, 2022","3.199","3.194","3.199","3.148","0.00%"
"Nov 08, 2022","3.199","3.159","3.199","3.159","1.27%"
"Nov 07, 2022","3.159","3.164","3.176","3.124","0.03%"
"Nov 04, 2022","3.158","3.198","3.198","3.135","0.38%"
"Nov 03, 2022","3.146","3.169","3.209","3.124","-0.54%"
"Nov 02, 2022","3.163","3.123","3.175","3.112","2.59%"
"Nov 01, 2022","3.083","3.106","3.129","3.072","-3.05%"
"Oct 31, 2022","3.180","3.061","3.202","3.061","3.89%"
"Oct 28, 2022","3.061","3.151","3.151","2.970","-2.86%"
"Oct 27, 2022","3.151","3.162","3.162","3.122","0.03%"
"Oct 26, 2022","3.150","3.139","3.184","3.128","0.00%"
"Oct 25, 2022","3.150","3.280","3.280","3.139","-4.33%"
"Oct 22, 2022","3.293","3.293","3.293","3.293","0.41%"
"Oct 21, 2022","3.279","3.279","3.336","3.122","0.03%"
"Oct 20, 2022","3.278","3.356","3.395","3.255","-2.32%"
"Oct 19, 2022","3.356","3.344","3.389","3.344","0.36%"
"Oct 18, 2022","3.344","3.327","3.428","3.305","0.51%"
"Oct 17, 2022","3.327","3.304","3.399","3.304","0.27%"
"Oct 15, 2022","3.318","3.318","3.318","3.318","2.16%"
"Oct 14, 2022","3.248","3.248","3.360","3.248","0.03%"
"Oct 13, 2022","3.247","3.258","3.258","3.164","-0.34%"
"Oct 12, 2022","3.258","3.269","3.275","3.219","-0.34%"
"Oct 11, 2022","3.269","3.241","3.324","3.186","-1.00%"
"Oct 10, 2022","3.302","3.302","3.340","3.230","0.03%"
"Oct 07, 2022","3.301","3.340","3.367","3.279","0.03%"
"Oct 06, 2022","3.300","3.333","3.338","3.300","-0.63%"
"Oct 05, 2022","3.321","3.310","3.354","3.289","1.00%"
"Oct 04, 2022","3.288","3.348","3.354","3.261","-1.94%"
"Oct 03, 2022","3.353","3.392","3.435","3.353","-1.61%"
"Oct 01, 2022","3.408","3.408","3.408","3.408","0.50%"
"Sep 30, 2022","3.391","3.440","3.506","3.369","-0.44%"
"Sep 29, 2022","3.406","3.461","3.488","3.384","-0.29%"
"Sep 28, 2022","3.416","3.389","3.471","3.389","0.80%"
"Sep 27, 2022","3.389","3.389","3.432","3.351","0.36%"
"Sep 26, 2022","3.377","3.318","3.421","3.318","1.32%"
"Sep 24, 2022","3.333","3.333","3.333","3.333","1.46%"
"Sep 23, 2022","3.285","3.263","3.371","3.263","1.05%"
"Sep 22, 2022","3.251","3.187","3.278","3.187","2.52%"
"Sep 21, 2022","3.171","3.203","3.203","3.171","0.35%"
"Sep 20, 2022","3.160","3.149","3.192","3.149","-0.16%"
"Sep 19, 2022","3.165","3.165","3.165","3.138","-0.16%"
"Sep 16, 2022","3.170","3.106","3.170","3.106","2.42%"
"Sep 15, 2022","3.095","3.106","3.116","3.084","-0.51%"
"Sep 14, 2022","3.111","3.079","3.111","3.079","4.47%"
