"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","7.390","7.390","7.390","7.390","-0.34%"
"Dec 22, 2022","7.415","7.415","7.415","7.415","0.68%"
"Dec 21, 2022","7.365","7.300","7.365","7.300","0.89%"
"Dec 20, 2022","7.300","7.325","7.325","7.300","0.00%"
"Dec 19, 2022","7.300","7.290","7.325","7.290","0.14%"
"Dec 15, 2022","7.290","7.300","7.300","7.290","-0.14%"
"Dec 14, 2022","7.300","7.300","7.325","7.300","0.00%"
"Dec 13, 2022","7.300","7.310","7.310","7.300","0.00%"
"Dec 12, 2022","7.300","7.320","7.330","7.300","0.00%"
"Dec 09, 2022","7.300","7.300","7.300","7.285","0.00%"
"Dec 08, 2022","7.300","7.295","7.300","7.280","0.27%"
"Dec 07, 2022","7.280","7.260","7.280","7.260","0.28%"
"Dec 06, 2022","7.260","7.260","7.260","7.260","0.00%"
"Dec 05, 2022","7.260","7.275","7.275","7.240","-0.21%"
"Dec 02, 2022","7.275","7.300","7.300","7.240","-0.34%"
"Dec 01, 2022","7.300","7.265","7.300","7.240","0.34%"
"Nov 30, 2022","7.275","7.290","7.300","7.275","-0.48%"
"Nov 29, 2022","7.310","7.295","7.320","7.290","2.02%"
"Nov 25, 2022","7.165","7.165","7.165","7.165","-1.85%"
"Nov 24, 2022","7.300","7.290","7.320","7.290","0.00%"
"Nov 23, 2022","7.300","7.320","7.335","7.195","-0.27%"
"Nov 22, 2022","7.320","7.305","7.320","7.300","0.00%"
"Nov 21, 2022","7.320","7.305","7.320","7.295","0.21%"
"Nov 18, 2022","7.305","7.340","7.340","7.300","-0.20%"
"Nov 17, 2022","7.320","7.300","7.320","7.300","0.27%"
"Nov 16, 2022","7.300","7.300","7.330","7.300","0.00%"
"Nov 15, 2022","7.300","7.280","7.300","7.280","0.48%"
"Nov 14, 2022","7.265","7.315","7.315","7.265","0.00%"
"Nov 11, 2022","7.265","7.240","7.265","7.240","-0.27%"
"Nov 10, 2022","7.285","7.325","7.325","7.275","-0.61%"
"Nov 09, 2022","7.330","7.230","7.330","7.230","0.76%"
"Nov 08, 2022","7.275","7.220","7.335","7.220","0.69%"
"Nov 07, 2022","7.225","7.250","7.265","7.220","-0.34%"
"Nov 04, 2022","7.250","7.205","7.250","7.205","-0.96%"
"Nov 03, 2022","7.320","7.320","7.320","7.320","0.62%"
"Nov 02, 2022","7.275","7.275","7.275","7.275","0.76%"
"Nov 01, 2022","7.220","7.200","7.220","7.200","0.28%"
"Oct 31, 2022","7.200","7.215","7.225","7.200","1.91%"
"Oct 28, 2022","7.065","7.240","7.240","7.065","-2.55%"
"Oct 27, 2022","7.250","7.240","7.250","7.240","0.14%"
"Oct 26, 2022","7.240","7.255","7.255","7.230","-0.14%"
"Oct 25, 2022","7.250","7.250","7.250","7.250","0.14%"
"Oct 24, 2022","7.240","7.245","7.245","7.240","0.35%"
"Oct 21, 2022","7.215","7.240","7.290","7.190","0.21%"
"Oct 20, 2022","7.200","7.160","7.200","7.160","0.14%"
"Oct 18, 2022","7.190","7.210","7.220","7.190","-0.28%"
"Oct 17, 2022","7.210","7.235","7.235","7.210","-0.62%"
"Oct 14, 2022","7.255","7.255","7.255","7.255","0.76%"
"Oct 13, 2022","7.200","7.220","7.220","7.200","0.00%"
"Oct 12, 2022","7.200","7.210","7.220","7.200","-0.89%"
"Oct 10, 2022","7.265","7.170","7.265","7.130","1.04%"
"Oct 07, 2022","7.190","7.160","7.190","7.150","0.28%"
"Oct 06, 2022","7.170","7.170","7.170","7.170","-0.21%"
"Oct 05, 2022","7.185","7.150","7.185","7.150","0.56%"
"Oct 04, 2022","7.145","7.200","7.200","7.145","-0.69%"
"Oct 03, 2022","7.195","7.220","7.240","7.195","-0.35%"
"Sep 30, 2022","7.220","7.215","7.220","7.200","-0.35%"
"Sep 29, 2022","7.245","7.230","7.245","7.230","0.21%"
"Sep 28, 2022","7.230","7.200","7.230","7.200","0.42%"
"Sep 27, 2022","7.200","7.215","7.215","7.200","-1.37%"
"Sep 26, 2022","7.300","7.300","7.300","7.300","4.73%"
"Sep 23, 2022","6.970","6.970","6.970","6.970","-0.29%"
"Sep 22, 2022","6.990","6.970","6.990","6.970","0.29%"
"Sep 21, 2022","6.970","6.970","6.970","6.970","0.00%"
"Sep 20, 2022","6.970","6.950","6.970","6.950","0.29%"
"Sep 19, 2022","6.950","6.950","6.950","6.950","-0.36%"
"Sep 16, 2022","6.975","6.950","6.975","6.950","0.14%"
"Sep 15, 2022","6.965","6.940","6.965","6.940","0.36%"
"Sep 14, 2022","6.940","6.940","6.940","6.940","-0.22%"
