"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","9.290","9.300","9.300","9.290","-0.11%"
"Dec 22, 2022","9.300","9.380","9.410","9.300","-0.85%"
"Dec 21, 2022","9.380","9.930","9.930","9.350","-4.38%"
"Dec 20, 2022","9.810","10.010","10.010","9.810","-1.70%"
"Dec 19, 2022","9.980","10.390","10.390","9.980","-1.77%"
"Dec 16, 2022","10.160","10.210","10.210","10.100","-0.49%"
"Dec 15, 2022","10.210","1.730","10.270","1.730","13.32%"
"Dec 14, 2022","9.010","8.930","9.160","8.930","-3.01%"
"Dec 13, 2022","9.290","9.600","9.600","9.180","-3.23%"
"Dec 12, 2022","9.600","9.550","9.620","9.110","-3.23%"
"Dec 09, 2022","9.920","9.750","10.090","9.750","1.33%"
"Dec 08, 2022","9.790","10.180","10.220","9.640","-3.83%"
"Dec 07, 2022","10.180","10.290","10.330","10.180","-3.96%"
"Dec 06, 2022","10.600","10.580","10.600","10.530","0.19%"
"Dec 05, 2022","10.580","10.420","18.490","10.400","3.02%"
"Dec 02, 2022","10.270","10.350","10.350","10.270","-1.25%"
"Dec 01, 2022","10.400","10.530","10.640","10.290","-0.57%"
"Nov 30, 2022","10.460","10.400","10.490","10.260","0.97%"
"Nov 29, 2022","10.360","10.490","10.490","10.360","-1.24%"
"Nov 28, 2022","10.490","10.550","10.550","10.350","-0.85%"
"Nov 25, 2022","10.580","10.710","10.710","10.510","-0.38%"
"Nov 24, 2022","10.620","10.850","10.850","10.620","-2.12%"
"Nov 23, 2022","10.850","11.070","11.070","10.830","-1.99%"
"Nov 22, 2022","11.070","11.090","11.120","10.980","-0.18%"
"Nov 21, 2022","11.090","11.170","11.380","11.010","-8.50%"
"Nov 18, 2022","12.120","12.140","12.200","12.050","-4.79%"
"Nov 17, 2022","12.730","12.770","12.770","12.430","-0.31%"
"Nov 16, 2022","12.770","13.010","13.010","12.660","-1.84%"
"Nov 15, 2022","13.010","13.130","13.320","12.970","-0.91%"
"Nov 14, 2022","13.130","13.070","13.170","13.070","-3.67%"
"Nov 11, 2022","13.630","13.940","13.940","13.550","-2.78%"
"Nov 10, 2022","14.020","14.010","14.020","13.980","-0.21%"
"Nov 09, 2022","14.050","14.270","14.270","13.980","-1.54%"
"Nov 08, 2022","14.270","14.450","14.450","14.000","-0.21%"
"Nov 07, 2022","14.300","14.090","14.340","14.090","1.20%"
"Nov 04, 2022","14.130","14.100","14.160","14.100","-0.07%"
"Nov 03, 2022","14.140","14.470","14.470","14.140","-2.28%"
"Nov 02, 2022","14.470","14.370","14.510","14.360","0.21%"
"Nov 01, 2022","14.440","14.570","14.680","14.330","-0.89%"
"Oct 31, 2022","14.570","14.760","14.760","14.380","-1.42%"
"Oct 27, 2022","14.780","15.180","15.180","14.700","-0.47%"
"Oct 26, 2022","14.850","14.760","14.960","14.760","-0.07%"
"Oct 25, 2022","14.860","14.350","15.000","14.350","3.55%"
"Oct 24, 2022","14.350","14.150","14.390","14.040","2.35%"
"Oct 21, 2022","14.020","14.120","14.120","14.000","-0.71%"
"Oct 20, 2022","14.120","14.740","14.740","14.120","-3.75%"
"Oct 19, 2022","14.670","15.170","15.170","14.670","-3.30%"
"Oct 18, 2022","15.170","15.490","15.490","15.150","-2.07%"
"Oct 17, 2022","15.490","15.500","15.500","15.310","0.19%"
"Oct 14, 2022","15.460","15.580","15.580","15.430","-1.02%"
"Oct 13, 2022","15.620","15.310","15.650","15.310","2.02%"
"Oct 12, 2022","15.310","15.090","15.310","15.090","1.66%"
"Oct 11, 2022","15.060","14.890","15.100","14.890","0.80%"
"Oct 10, 2022","14.940","14.970","14.970","14.820","-0.66%"
"Oct 07, 2022","15.040","15.080","15.260","14.880","-1.44%"
"Oct 06, 2022","15.260","15.290","15.290","15.160","-0.20%"
"Oct 05, 2022","15.290","14.790","15.360","14.790","3.38%"
"Oct 04, 2022","14.790","14.720","14.860","14.720","0.41%"
"Oct 03, 2022","14.730","14.730","14.730","14.660","1.38%"
"Sep 30, 2022","14.530","14.390","14.530","14.350","0.97%"
"Sep 29, 2022","14.390","14.350","14.390","14.290","0.28%"
"Sep 28, 2022","14.350","13.940","14.490","13.940","3.46%"
"Sep 27, 2022","13.870","13.880","13.880","13.780","0.14%"
"Sep 26, 2022","13.850","13.750","13.950","13.750","1.99%"
"Sep 23, 2022","13.580","13.390","13.580","13.390","1.42%"
"Sep 22, 2022","13.390","13.930","13.930","13.370","-3.88%"
"Sep 21, 2022","13.930","13.940","14.000","13.790","-0.07%"
"Sep 20, 2022","13.940","13.910","13.940","13.840","0.22%"
"Sep 19, 2022","13.910","13.910","13.910","13.850","0.36%"
"Sep 16, 2022","13.860","13.900","13.900","13.860","0.00%"
"Sep 15, 2022","13.860","13.960","14.030","13.860","-0.50%"
"Sep 14, 2022","13.930","13.900","14.040","13.790","0.22%"
